MoldName,SaveDate,Materials,Colour,MoldNum
9,2019/3/4-16:17:43,9,9,9
,,,,
DataID,DataValue,,,
0x590,65535,,,
0x591,65535,,,
0x592,65535,,,
0x593,65535,,,
0x594,65535,,,
0x595,0,,,
0x596,0,,,
0x597,65535,,,
0x598,3000,,,
0x599,65535,,,
0x59A,65535,,,
0x59B,65535,,,
0x59C,65535,,,
0x59D,65535,,,
0x59E,65535,,,
0x59F,65535,,,
0x5A0,50,,,
0x5A1,30,,,
0x5A2,100,,,
0x5A3,50,,,
0x5A4,50,,,
0x5A5,500,,,
0x5A6,60,,,
0x5A7,60,,,
0x5A8,100,,,
0x5A9,60,,,
0x5AA,60,,,
0x5AB,10,,,
0x5AC,0,,,
0x5AD,0,,,
0x5AE,1,,,
0x5AF,1,,,
0x5B0,0,,,
0x5B1,0,,,
0x5B2,0,,,
0x5B3,0,,,
0x5B4,65535,,,
0x5B5,0,,,
0x5B6,65535,,,
0x5B7,65535,,,
0x5B8,65535,,,
0x5B9,0,,,
0x5BA,0,,,
0x5BB,65535,,,
0x5BC,65535,,,
0x5BD,65535,,,
0x5BE,65535,,,
0x5BF,65535,,,
0x5C0,65535,,,
0x5C1,0,,,
0x5C2,65535,,,
0x5C3,65535,,,
0x5C4,65535,,,
0x5C5,0,,,
0x5C6,65535,,,
0x5C7,65535,,,
0x5C8,65535,,,
0x5C9,65535,,,
0x5CA,65535,,,
0x5CB,65535,,,
0x5CC,65535,,,
0x5CD,65535,,,
0x5CE,65535,,,
0x5CF,65535,,,
0x5D0,65535,,,
0x5D1,65535,,,
0x5D2,65535,,,
0x5D3,65535,,,
0x5D4,65535,,,
0x5D5,65535,,,
0x5D6,65535,,,
0x5D7,65535,,,
0x5D8,65535,,,
0x5D9,65535,,,
0x5DA,65535,,,
0x5DB,65535,,,
0x5DC,65535,,,
0x5DD,65535,,,
0x5DE,65535,,,
0x5DF,0,,,
0x5E0,0,,,
0x5E1,0,,,
0x5E2,0,,,
0x5E3,0,,,
0x5E4,0,,,
0x5E5,0,,,
0x5E6,0,,,
0x5E7,0,,,
0x5E8,0,,,
0x5E9,0,,,
0x5EA,0,,,
0x5EB,0,,,
0x5EC,0,,,
0x5ED,0,,,
0x5EE,0,,,
0x5EF,0,,,
0x5F0,0,,,
0x5F1,0,,,
0x5F2,0,,,
0x5F3,0,,,
