NO.,Code,ShotCnt,AlarmDescription,StartTime,ResetTime
 ,5923,21,ERR_15_PACKCNTREACH,4/2/2019 14:51:5,4/2/2019 14:51:53
 ,5922,21,ERR_16_CHARGEENDERR,4/2/2019 14:51:5,4/2/2019 14:51:53
 ,5921,21,ERR_17_DECOMPENDERR,4/2/2019 14:51:4,4/2/2019 14:51:52
 ,5920,21,ERR_18_MLDPROTERR,4/2/2019 14:51:4,4/2/2019 14:51:52
 ,5919,21,ERR_19_OPN1SLWPOSNERR,4/2/2019 14:51:4,4/2/2019 14:51:51
 ,5918,21,ERR_1A_INJTIMERR,4/2/2019 14:51:4,4/2/2019 14:51:51
 ,5917,21,ERR_1B_SCREWRPMERR,4/2/2019 14:51:3,4/2/2019 14:51:51
 ,5916,21,ERR_1C_INJSTRPOSERR,4/2/2019 14:51:3,4/2/2019 14:51:50
 ,5915,21,ERR_1D_LUBOILLVLERR,4/2/2019 14:51:3,4/2/2019 14:51:50
 ,5914,21,ERR_1E_FINISHAUTOADJ,4/2/2019 14:51:2,4/2/2019 14:51:49
 ,5913,21,ERR_1F_POSNSETERR,4/2/2019 14:51:2,4/2/2019 14:51:49
 ,5912,21,ERR_00_MLDCLSENDERR,4/2/2019 14:50:54,4/2/2019 14:51:49
 ,5911,21,ERR_01_HOPPEREMPTY,4/2/2019 14:50:54,4/2/2019 14:51:48
 ,5910,21,ERR_02_PARTNOTDROP,4/2/2019 14:50:53,4/2/2019 14:51:48
 ,5909,21,ERR_03_MLDOPNENDERR,4/2/2019 14:50:53,4/2/2019 14:51:47
 ,5908,21,ERR_04_NOSHOTREACH,4/2/2019 14:50:53,4/2/2019 14:51:47
 ,5907,21,ERR_05_ROBOTMALFUNC,4/2/2019 14:50:52,4/2/2019 14:51:47
 ,5906,21,ERR_06_PURGEGUARDOPN,4/2/2019 14:50:52,4/2/2019 14:51:46
 ,5905,21,ERR_07_INJCUSHERR,4/2/2019 14:50:52,4/2/2019 14:51:46
 ,5904,21,ERR_08_EJEPOSERR,4/2/2019 14:50:52,4/2/2019 14:51:45
 ,5903,21,ERR_09_TEMPCTERR,4/2/2019 14:50:51,4/2/2019 14:51:45
 ,5902,21,ERR_0A_CYCTIMEXCEED,4/2/2019 14:50:51,4/2/2019 14:51:45
 ,5901,21,ERR_0B_OILTEMPOVER,4/2/2019 14:50:51,4/2/2019 14:51:44
 ,5900,21,ERR_0C_OFFPANELSW,4/2/2019 14:50:50,4/2/2019 14:51:44
 ,5898,21,ERR_0E_PLSCLSDOOR,4/2/2019 14:50:50,4/2/2019 14:51:43
 ,5897,21,ERR_0F_TEMPERR,4/2/2019 14:50:50,4/2/2019 14:51:43
 ,5900,21,ERR_0C_OFFPANELSW,4/2/2019 14:33:38,4/2/2019 14:33:41
 ,5897,21,ERR_0F_TEMPERR,4/2/2019 14:33:38,4/2/2019 14:33:40
 ,5897,1,ERR_0F_TEMPERR,4/2/2019 11:29:26,4/2/2019 12:51:30
 ,5904,1,ERR_0F_TEMPERR,4/2/2019 11:29:12,4/2/2019 11:29:23
 ,5904,1,ERR_0F_TEMPERR,4/2/2019 11:18:11,??:??:??
 ,6173,1,ERR_0F_TEMPERR,4/2/2019 11:17:57,4/2/2019 11:18:9
 ,6173,1,ERR_0F_TEMPERR,4/2/2019 10:3:9,??:??:??
 ,5904,1,ERR_0F_TEMPERR,4/2/2019 10:2:55,4/2/2019 10:2:58
 ,6173,1,ERR_0F_TEMPERR,4/2/2019 10:0:12,4/2/2019 10:0:38
 ,6121,1,ERR_0F_TEMPERR,4/2/2019 9:59:3,4/2/2019 10:0:11
 ,5897,1,ERR_0F_TEMPERR,4/2/2019 9:58:41,4/2/2019 9:58:52
 ,5904,1,ERR_0F_TEMPERR,4/2/2019 9:55:33,4/2/2019 9:58:40
