NO.,Time,#1 SetValue,#1 RealValue,#2 SetValue,#2 RealValue,#3 SetValue,#3 RealValue,#4 SetValue,#4 RealValue,#5 SetValue,#5 RealValue,#6 SetValue,#6 RealValue,#7 SetValue,#7 RealValue,#8 SetValue,#8 RealValue,#9 SetValue,#9 RealValue
900,04/04/2019 14:59:40,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
901,04/04/2019 14:59:44,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
902,04/04/2019 14:59:48,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
903,04/04/2019 14:59:52,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
904,04/04/2019 14:59:56,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
905,04/04/2019 15:00:00,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
906,04/04/2019 15:00:04,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
907,04/04/2019 15:00:08,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
908,04/04/2019 15:00:12,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
909,04/04/2019 15:00:16,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
910,04/04/2019 15:00:20,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
911,04/04/2019 15:00:24,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
912,04/04/2019 15:00:28,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
913,04/04/2019 15:00:32,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
914,04/04/2019 15:00:36,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
915,04/04/2019 15:00:40,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
916,04/04/2019 15:00:43,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
917,04/04/2019 15:00:47,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
918,04/04/2019 15:00:51,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
919,04/04/2019 15:00:55,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
920,04/04/2019 15:00:59,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
921,04/04/2019 15:01:03,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
922,04/04/2019 15:01:07,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
923,04/04/2019 15:01:11,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
924,04/04/2019 15:01:15,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
925,04/04/2019 15:01:19,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
926,04/04/2019 15:01:23,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
927,04/04/2019 15:01:27,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
928,04/04/2019 15:01:31,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
